from_stop_id,to_stop_id,transfer_type,min_transfer_time
7259,7207,,
6474,7102,2,360
1482,1387,2,300
1856,1483,2,360
3898,3856,2,300
3385,3478,,
11087,11278,2,360
8659,8680,2,120
11126,9293,2,360
3779,3478,,
12172,12495,2,360
1186,12666,2,300
7643,3067,,
888,9052,,
1173,2523,,
5683,11132,,
8073,972,2,300
7827,8029,2,120
9378,3825,2,360
8040,8535,2,300
5119,5125,,
10866,4242,2,120
4965,10896,2,480
779,857,2,300
8907,8753,,
8065,10915,,
8640,545,,
4346,4419,2,480
10202,8050,,
12725,10926,2,480
11103,11283,2,300
12666,1160,2,300
4242,4471,,
4045,12735,2,360
569,60,,
8749,8697,,
6217,6151,2,300
75,74,,
10631,11278,2,360
984,8535,2,360
2639,2261,,
6340,6139,2,360
1754,2110,2,360
6113,6478,2,360
1101,959,2,300
3816,3385,,
3532,3386,2,360
1171,1175,2,360
11113,60,,
3195,8032,2,120
11579,11408,2,420
10890,10889,,
5408,5960,,
1156,1071,,
12375,8535,2,300
6781,11932,,
365,10969,,
1354,1576,,
12231,11942,,
8032,3533,2,120
8850,3572,,
11403,12721,2,300
1198,704,,
11573,3735,,
460,1589,,
78,35,2,480
10399,10400,2,120
11911,1429,,
8746,8676,,
3243,3155,2,300
256,255,,
12584,11283,2,360
5729,11133,,
11882,5768,2,360
6172,6197,2,300
5828,5954,,
1708,1711,,
169,1530,,
10929,8065,,
8683,10017,2,300
758,2054,,
5275,5419,2,360
185,1283,2,360
8673,8760,,
1992,834,,
7259,5352,2,120
4845,5553,2,120
8046,1615,,
2062,1027,,
11801,11810,,
26,11542,,
10021,8679,2,360
5805,5288,2,480
1775,452,2,120
6459,11074,,
12668,12134,2,300
1604,366,2,360
12749,888,,
